"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q8","Q10","Q18","Q19","Q20","Q21"
"304","North","male","35-44",1,0,1,2,2,2,"2",2,-2,-1,-1
"305","Tel Aviv","male","35-44",1,1,-2,2,2,-1,"1",-2,-2,-2,2
"306","Jerusalem","male","35-44",0,1,-1,-1,1,2,"1",1,NA,-2,2
"307","Tel Aviv","male","35-44",1,1,-1,1,2,-2,"1",-2,-2,-2,1
"308","North","female","35-44",-1,2,-2,2,2,1,"1",-1,-1,-1,1
"309","Tel Aviv","female","35-44",-1,1,-2,2,1,-2,"1",-1,-2,-1,1
"310","Center","male","35-44",1,1,1,2,2,-2,"0",-1,1,-1,1
"311","Center","male","35-44",0,1,1,1,-1,2,"0",-2,-2,1,-2
"312","Center","female","35-44",0,0,-1,2,2,1,"2",2,1,-1,2
"313","Tel Aviv","male","35-44",0,0,1,1,2,1,"2",1,-1,-1,2
"314","North","female","35-44",1,0,-1,2,2,1,"2",1,-1,-2,2
"315","Center","female","35-44",0,0,-1,-1,2,-1,"2",2,1,-1,-1
"316","Center","female","35-44",0,0,-1,-1,2,-1,"1",-1,-1,-1,1
"317","Center","female","35-44",0,1,-2,2,2,-2,"1",-2,-2,2,-2
"318","Haifa","female","35-44",0,NA,-2,1,-2,-2,"1",-2,-1,2,-2
"319","Tel Aviv","female","35-44",1,0,-1,1,2,2,"0",2,-2,-2,2
"320","North","male","35-44",0,NA,-2,1,2,2,"2",2,-2,-2,2
"321","Jerusalem","female","35-44",0,2,-2,2,1,-1,"1",2,-2,2,-2
"322","Center","male","35-44",0,1,-2,2,-1,-2,"1",-2,-1,2,-2
"323","Haifa","female","35-44",1,1,1,-1,2,1,"2",1,-1,-1,1
"324","Center","male","35-44",0,0,-1,1,1,-1,"1",-2,-2,1,1
"325","Center","female","35-44",0,1,-1,1,1,-1,"0",-1,-1,-2,1
"326","Tel Aviv","male","35-44",-1,1,-1,2,2,-1,"0",1,-2,-1,1
"327","Center","female","35-44",0,1,-1,2,2,-1,"1",-1,-1,-1,-1
"328","Center","female","35-44",-1,1,-2,-1,1,-2,"1",-1,1,-2,-1
"329","South","female","35-44",-1,1,-2,2,2,1,"2",-1,2,-2,2
"330","Center","female","35-44",0,0,-1,-1,1,-2,"1",-1,-1,1,-1
"331","Tel Aviv","female","35-44",0,2,-1,2,2,-2,"1",-1,-1,NA,-1
"332","Center","male","35-44",1,0,1,1,2,-2,"1",1,-1,2,-2
"333","Center","male","35-44",2,1,1,1,1,-2,"0",-1,-2,1,-1
"334","South","male","35-44",1,2,-1,1,1,-1,"1",2,-2,-2,2
"335","Tel Aviv","male","35-44",1,1,1,1,1,-1,"1",1,-1,-1,-2
"336","South","female","35-44",0,1,1,1,1,1,"2",-2,-2,2,-2
